Name,Link,Categories,PRicing,Platforms,Tags,Description
GRSites Sounds Archive,http://www.grsites.com/archive/sounds/,SFX,Paid,,,
We Sound Effects,https://wesoundeffects.com/soundlibraries/,SFX,"Free, Paid",,,
PMSFX,https://www.pmsfx.com/,SFX,"Free, Paid",,,
Spitfire Audio,https://www.spitfireaudio.com/,"Music, SFX",Paid,,,
Iconfinder,https://www.iconfinder.com/,Icons,"Free, Subscription",,,
iconmonster,https://iconmonstr.com/,Icons,Free,,,
TheNounProject,https://thenounproject.com/,Icons,Subscription,,,
Iconizer,https://icons8.com/iconizer/,Icons,Free,,,
FamFamFam,http://www.famfamfam.com/lab/icons/,Icons,Free,,,
Find Icons,https://findicons.com/,Icons,Free,,,
FlatIcons,https://flaticons.net/,Icons,Free,,,
FlatIcon,https://www.flaticon.com/,Icons,"Free, Subscription",,Attribution Required,
Freebiesbug,https://freebiesbug.com/,"Fonts, Icons",Free,,,
Icons8,https://icons8.com/,"Icons, Image, Music",Free,,,
Craft Pix,https://craftpix.net/,2D,Paid,,,"Game Kits, Sprites, GUI, Backgrounds, Icons, Tile Sets"
Feather,https://feather.netlify.com/,Icons,Free,,,
Material Design Icons,https://materialdesignicons.com/,Icons,Free,,,
RPG-Awesome,https://nagoshiashumari.github.io/Rpg-Awesome/,"Icons, Fonts",Free,,,
illustrio,https://illustrio.com/,Icons,Free,,,
Google Fonts,https://fonts.google.com/,Fonts,Free,,,
Font Library,https://fontlibrary.org/,Fonts,Free,,Attribution Required,
Font Squirrel,https://www.fontsquirrel.com/,Fonts,Free,,,
Use & Modify,http://usemodify.com/,Fonts,Free,,,
1001 Fonts,https://www.1001fonts.com/,Fonts,Free,,Non-Commercial,Some are Non-Commercial
DaFont,https://www.dafont.com/,Fonts,Free,,,
The League of Moveable Type,https://www.theleagueofmoveabletype.com/,Fonts,Free,,,
BitFontMaker Gallery,http://www.pentacom.jp/pentacom/bitfontmaker2/gallery/,Fonts,Free,,,
Old School PC Fonts,https://int10h.org/oldschool-pc-fonts/,Fonts,Free,,,
FontStruct Gallery,https://fontstruct.com/gallery,Fonts,Free,,Attribution Required,
Envato Forest,https://themeforest.net/,UI,"Paid, Subscription",,,Website Assets
UrbanFonts,https://www.urbanfonts.com/,Fonts,"Free, Paid",,,
FontSpace,https://www.fontspace.com/,Fonts,Free,,Non-Commercial,Some are Non-Commercial
FondFont,https://fondfont.com/,Fonts,Free,,,
Font River,http://www.fontriver.com/,Fonts,Free,,,
Fontfabric,https://www.fontfabric.com/,Fonts,"Free, Paid",,,Also custom font services
FreeTypography,https://freetypography.com/,Fonts,Free,,,
Ten by Twenty,http://tenbytwenty.com/,Fonts,"Free, Paid",,,
Dot Colon,http://dotcolon.net/,Fonts,Free,,,
Smeltery,http://www.smeltery.net/en/,Fonts,"Free, Paid",,,Also custom font services
Free Design Resources,https://freedesignresources.net/,"Fonts, UI","Free, Paid",,Non-Commercial,Some are Non-Commercial
Free Goodies for Designers,http://freegoodiesfordesigners.blogspot.com/,"Fonts, Icons, Brushes, Image, UI",Free,,,
Degica Shop,https://us.degicashop.com/collections/dlcs,2D,Paid,,,Assets for RPG Maker products
Substance Source,https://source.substance3d.com/,Texture,Subscription,,,
Gravity Sound Studios,https://www.gravitysound.studio/,"Music, SFX",Paid,,,
CC0 Textures,https://cc0textures.com/,Texture,Free,,,
3DAssets.one,https://www.3dassets.one/,Texture,Free,,Search engine for 3D assets,
VG Resources,https://www.vg-resource.com/,"2D, Sprites, 3D, Music, SFX",Free,"",Non-Commercial,Assets ripped from popular video games
