Name,Link,Categories,Pricing,Platforms,Tags,Description
Demiurge Studios,https://www.demiurgestudios.com/,Development,,,,
Experis Games,http://experisgames.com/,Development,,,,
Game Sim,https://www.gamesim.com/,Development,,,,
Graphite Lab,https://graphitelab.com/,Development,,,,
Hidden Path Entertainment,http://www.hiddenpath.com/,Development,,,,
Human Head Studios,https://www.humanhead.com/,Development,,,,
Hybride,http://hybride.com/,Development,,,,
Hyperkinetic,https://www.hyperkineticstudios.com/,Development,,,,
Illfonic,https://www.illfonic.com/,Development,,,,
Iron Galaxy Studios,http://www.irongalaxystudios.com/,Development,,,,
Keyword Studios,https://www.keywordsstudios.com/,"Development, Game Testing, Localization, Art",,,,
Lionbridge,https://www.lionbridge.com/,Development,,,,
Madorium,https://www.madorium.com/,Development,,,,
MBS Games,http://www.mbsgames.com/,Development,,,,
Phosphor,http://phos.ph/,Development,,,,
Pixel and Texel,https://www.pixelandtexel.com/,Development,,,,
Pixel Dash Studios,http://www.pixeldashstudios.com/,Development,,,,
Saber Interactive,https://saber3d.com/,Development,,,,
Six Foot,https://6ft.com/index.html,Development,,,"Outsourcing, Porting",
Splash Damage,https://www.splashdamage.com/,Development,,,,
Station Interactive,http://www.station-interactive.com/,Development,,,,
Streamline Media Group,https://www.streamline-mediagroup.com/,Development,,,,
Sumo Digital,http://www.sumo-digital.com/,Development,,,,
The Third Floor,http://thethirdfloorinc.com/,Development,,,"Outsourcing, Cinematics",
Virtuos Games,https://www.virtuosgames.com/en/,Development,,,,
White Elk Studios,http://whiteelkstudios.com/,Development,,,,
Adia Entertainment,http://adiadigital.com/,Development,,,"Game Art, Cinematics",
PTW,https://www.ptw.com/,"Development, Audio, Localization, Game Testing, Customer Support",,,,"Customer Experience, Quality Assurance, Localization, Audio Production, Engineering"
Remote Control Productions,http://r-control.de/index_en.php,"Business, Development, Production, Marketing, Consulting",,,,
Cathar Games,http://www.cathargames.com/?page_id=908,"Development, Consulting",,,,
Resistance Studio,https://www.resistancestudio.com/about.html,Development,,,Porting,Netherlands
IGDB,https://www.igdb.com/,Aggregator,,,,Video Games and Games Company Database with a Review Aggregator
Abstraction Games,https://abstraction.games/services,Development,,,Porting,
Crunching Koalas,http://crunchingkoalas.com/,Development,,,Porting,
Fundamentally Games,http://www.fundamentally.games/consulting/,Consulting,,,,
Toge Productions,https://www.togeproductions.com/services/,Development,,,,
Wales Interactive,https://www.walesinteractive.com/services,Development,,,,
Panic Button,https://panicbuttongames.com/service/,Development,,,,
Mirowin Games Studio,http://mirowin.com/,Development,,,"PC, VR, Ukraine",
MP2 Games,http://mp2.dk/,Development,,,Porting,
